"","DATE","PLAYER_FULL_NAME","Cluster","points","assists","offensive_rebounds","defensive_rebounds","turnovers","threepointers_made","threepoint_attempts","steals","minutes","fieldgoal_attempts","fieldgoals_made","freethrow_attempts","freethrows_made","fouls","blocks"
"98",2014-10-29,"Ognjen Kuzmic",0,0,0,0,1,0,0,0,0,6.45,0,0,0,0,4,1
"99",2014-10-29,"Otto Porter",0,13,0,1,3,0,1,3,1,23.5,7,4,6,4,1,0
"100",2015-11-05,"Pat Connaughton",0,0,0,0,0,1,0,0,0,3.58,1,0,0,0,0,0
"101",2014-12-29,"Patrick Christopher",0,2,0,0,3,0,0,1,0,5.08,2,1,0,0,1,0
"102",2015-01-23,"Quincy Miller",0,13,0,1,5,3,1,3,2,33.8,8,3,7,6,2,2
"103",2014-12-30,"Raymond Felton",0,4,1,0,0,0,0,1,0,5.57,4,2,0,0,0,0
"104",2015-01-31,"Reggie Williams",0,2,0,0,0,0,0,3,0,4.98,3,0,2,2,1,0
"105",2015-10-30,"Richaun Holmes",0,1,0,0,0,0,0,0,0,6.18,0,0,2,1,0,1
"106",2014-12-22,"Ricky Ledo",0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
"107",2014-11-17,"Robert Covington",0,6,2,1,2,0,0,1,2,16.63,5,1,4,4,3,0
"108",2014-10-29,"Rudy Gobert",0,2,0,1,2,1,0,0,1,20.12,1,1,0,0,3,0
"109",2014-11-22,"Russ Smith",0,0,0,0,1,0,0,1,0,4.85,1,0,0,0,3,0
"110",2014-10-29,"Ryan Hollins",0,2,0,0,1,0,0,0,0,1.52,1,1,0,0,0,0
"111",2015-10-29,"Salah Mejri",0,0,0,1,2,0,0,0,1,7.22,1,0,0,0,1,1
"112",2015-10-30,"Sam Dekker",0,0,0,0,1,0,0,0,1,4.5,0,0,0,0,0,0
"113",2015-10-30,"Sasha Kaun",0,0,0,0,0,0,0,0,0,1.47,0,0,0,0,1,0
"114",2014-10-29,"Sergey Karasev",0,0,0,0,3,1,0,0,0,2.87,0,0,0,0,0,0
"115",2015-03-15,"Seth Curry",0,0,1,0,2,0,0,0,0,6.57,2,0,0,0,2,0
"116",2014-10-29,"Shane Larkin",0,6,3,0,2,0,0,2,1,25.58,6,2,2,2,2,0
"117",2014-11-02,"Shannon Brown",0,1,0,0,0,0,0,0,0,1.23,0,0,2,1,0,0
"118",2014-10-29,"Shavlik Randolph",0,3,0,2,3,0,0,1,0,12.83,3,1,3,1,2,0
"119",2015-04-08,"Sim Bhullar",0,2,0,0,1,0,0,0,0,1.37,2,1,0,0,0,0
"120",2014-10-29,"Solomon Hill",0,3,2,2,4,1,1,2,0,22.5,3,1,0,0,2,2
"121",2014-11-19,"Spencer Dinwiddie",0,2,1,0,1,1,0,2,0,13.95,3,0,2,2,1,0
"122",2015-11-04,"Terry Rozier",0,0,0,1,4,2,0,1,0,6.15,4,0,0,0,1,0
"123",2016-01-31,"Thanasis Antetokounmpo",0,4,0,0,1,0,0,1,0,4.07,3,2,0,0,1,0
"124",2015-11-05,"Tibor Pleiss",0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0
"125",2014-11-17,"TJ Warren",0,7,0,2,1,0,1,1,0,12.07,5,3,0,0,2,0
"126",2015-03-12,"Toure Murry",0,4,0,0,0,2,0,0,1,3.88,1,1,2,2,2,0
"127",2014-10-30,"Travis Wear",0,2,2,0,2,1,0,0,0,13.08,1,0,2,2,1,0
"128",2015-01-30,"Tyler Johnson",0,4,3,0,1,1,0,1,3,24.32,6,2,0,0,1,1
"129",2015-01-29,"Tyrus Thomas",0,4,1,0,0,0,0,0,0,5.1,1,1,2,2,0,0
"130",2014-12-22,"Victor Claver",0,2,0,0,2,1,0,0,0,4.17,1,1,0,0,0,0
"131",2015-11-07,"Walter Tavares",0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,1,0
"132",2014-10-29,"Wayne Ellington",0,13,0,0,1,0,1,3,1,24.58,9,6,0,0,1,0
"133",2015-04-01,"Will Bynum",0,0,0,0,0,2,0,0,0,2.47,0,0,0,0,0,0
"134",2014-11-10,"Will Cherry",0,2,0,0,1,0,0,1,0,3.72,2,1,0,0,0,0
"135",2015-10-30,"Willie Cauley-Stein",0,17,1,3,6,2,0,0,1,30.18,8,7,5,3,5,3
"136",2014-11-07,"Zach LaVine",0,4,2,0,0,0,0,0,1,8.37,2,1,2,2,2,1
"137",2014-12-26,"Zoran Dragic",0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0
"138",2014-10-29,"Aaron Brooks",1,13,6,0,2,1,1,1,1,23.65,5,4,4,4,3,0
"139",2014-10-29,"Alec Burks",1,18,2,1,2,2,1,2,1,35.92,11,6,6,5,2,0
"140",2014-10-29,"Andre Iguodala",1,2,2,0,3,2,0,4,3,29.25,6,1,2,0,2,0
"141",2014-10-29,"Arron Afflalo",1,15,1,1,3,1,2,5,1,39.82,16,6,3,1,1,0
"142",2014-10-29,"Brandon Jennings",1,4,2,0,4,3,0,0,0,19.8,4,2,0,0,0,0
"143",2014-10-29,"Brandon Knight",1,22,13,0,8,4,2,4,0,38.78,17,5,10,10,3,1
"144",2014-10-29,"D.J. Augustin",1,15,3,0,6,3,2,6,0,28.2,10,5,4,3,2,0
"145",2014-10-29,"Deron Williams",1,19,8,0,3,4,0,3,2,39.05,16,6,7,7,1,1
"146",2014-10-30,"Dion Waiters",1,10,2,1,0,3,2,5,1,37.58,9,4,0,0,3,0
"147",2014-10-29,"Dwyane Wade",1,21,3,0,1,2,2,3,2,31.43,16,8,3,3,2,0
"148",2014-10-28,"Eric Gordon",1,8,0,0,4,3,1,2,2,31.52,8,3,3,1,1,2
"149",2014-10-28,"Jameer Nelson",1,9,3,0,0,0,3,5,1,30.47,7,3,0,0,1,1
"150",2014-10-29,"Jarrett Jack",1,11,2,0,2,1,0,0,2,30.08,9,5,2,1,1,0
"151",2014-10-29,"Jeff Teague",1,20,8,0,3,6,1,1,3,32.43,12,8,4,3,2,0
"152",2014-10-28,"Jeremy Lin",1,7,6,1,1,4,0,1,0,29.13,5,1,6,5,3,0
"153",2014-10-30,"Jordan Farmar",1,6,1,0,0,0,2,4,1,10.4,4,2,0,0,2,0
"154",2016-01-31,"Jordan McRae",1,4,1,1,0,3,0,2,0,13.17,3,1,2,2,0,0
"155",2014-10-29,"Kemba Walker",1,26,5,2,4,0,3,9,1,38.98,26,9,11,5,1,1
"156",2014-10-29,"Kobe Bryant",1,31,3,1,3,2,2,4,2,27.88,25,11,7,7,2,0
"157",2014-10-29,"Lance Stephenson",1,7,8,3,10,2,0,2,0,39.92,12,3,2,1,4,0
"158",2014-10-28,"Manu Ginobili",1,20,6,0,2,3,2,6,2,27.68,13,6,7,6,4,0
"159",2014-10-29,"Mike Conley",1,16,6,1,0,1,1,4,1,33.98,14,7,3,1,3,0
"160",2014-10-29,"Ramon Sessions",1,3,1,0,0,4,0,0,0,10.23,3,1,1,1,2,0
"161",2014-11-03,"Reggie Jackson",1,23,5,1,3,7,2,8,0,41.75,20,8,5,5,5,1
"162",2014-10-28,"Tony Parker",1,23,3,1,2,1,4,4,0,34.83,15,9,2,1,2,0
"163",2014-10-29,"Tony Wroten",1,22,7,1,7,1,1,4,3,35.17,21,9,8,3,2,0
"164",2014-10-29,"Trey Burke",1,15,4,1,0,2,0,4,0,38.38,16,6,4,3,1,0
