"PLAYER_FULL_NAME","OWN_TEAM","Position","Age","Height","Weight","Salary","Team","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Bismack Biyombo","Charlotte","C",27,"6' 8""",255,1.7e+07,"Charlotte Hornets",NA,NA,NA,NA,NA
"BJ Johnson","Orlando","SF",24,"6' 7""",200,NA,"Orlando Magic",NA,NA,NA,NA,NA
"Blake Griffin","Detroit","PF",30,"6' 9""",250,34449964,"Detroit Pistons","Day-To-Day","Dec 21","Game Time Decision",2019-12-23,2019-12-22
"Boban Marjanovic","Dallas","C",31,"7' 4""",290,3500000,"Dallas Mavericks",NA,NA,NA,NA,NA
"Bobby Portis","New York","PF",24,"6' 10""",250,1.5e+07,"New York Knicks",NA,NA,NA,NA,NA
"Bogdan Bogdanovic","Sacramento","SG",27,"6' 6""",220,8529386,"Sacramento Kings","Day-To-Day","Dec 21","Game Time Decision",2019-12-23,2019-12-22
"Bojan Bogdanovic","Utah","SF",30,"6' 8""",226,1.7e+07,"Utah Jazz",NA,NA,NA,NA,NA
"Bol Bol","Denver","C",20,"7' 2""",220,NA,"Denver Nuggets",NA,NA,NA,NA,NA
"Brad Wanamaker","Boston","PG",30,"6' 3""",210,1445697,"Boston Celtics","Day-To-Day","Dec 19",NA,2019-12-23,2019-12-22
"Bradley Beal","Washington","SG",26,"6' 3""",207,27093019,"Washington Wizards",NA,NA,NA,NA,NA
"Brandon Clarke","Memphis","SF",23,"6' 8""",215,2478840,"Memphis Grizzlies",NA,NA,NA,NA,NA
"Brandon Goodwin","Atlanta","PG",24,"6' 0""",180,NA,"Atlanta Hawks",NA,NA,NA,NA,NA
"Brandon Ingram","New Orleans","SF",22,"6' 7""",190,7265485,"New Orleans Pelicans",NA,NA,NA,NA,NA
"Brandon Knight","Cleveland","PG",28,"6' 2""",182,15643750,"Cleveland Cavaliers",NA,NA,NA,NA,NA
"Brian Bowen II","Indiana","SG",21,"6' 6""",190,NA,"Indiana Pacers",NA,NA,NA,NA,NA
"Brook Lopez","Milwaukee","C",31,"7' 0""",282,12093023,"Milwaukee Bucks",NA,NA,NA,NA,NA
"Bruce Brown","Detroit","SG",23,"6' 4""",202,1416852,"Detroit Pistons",NA,NA,NA,NA,NA
"Bruno Caboclo","Memphis","SF",24,"6' 9""",218,1845301,"Memphis Grizzlies",NA,NA,NA,NA,NA
"Bruno Fernando","Atlanta","PF",21,"6' 9""",240,1400000,"Atlanta Hawks",NA,NA,NA,NA,NA
"Bryn Forbes","San Antonio","SG",26,"6' 2""",205,2875000,"San Antonio Spurs",NA,NA,NA,NA,NA
"Buddy Hield","Sacramento","SG",27,"6' 4""",220,4861208,"Sacramento Kings",NA,NA,NA,NA,NA
"C.J. Miles","Washington","SG",32,"6' 6""",220,8333333,"Washington Wizards","Out",NA,"Apr 1",2020-03-31,2019-12-22
"Caleb Martin","Charlotte","SF",24,"6' 5""",205,898310,"Charlotte Hornets",NA,NA,NA,NA,NA
"Caleb Swanigan","Sacramento","PF",22,"6' 9""",260,2033160,"Sacramento Kings",NA,NA,NA,NA,NA
"Cam Reddish","Atlanta","SF",20,"6' 8""",218,4245720,"Atlanta Hawks",NA,NA,NA,NA,NA
"Cameron Johnson","Phoenix","SF",23,"6' 8""",210,4033440,"Phoenix Suns","Day-To-Day","Dec 19",NA,2019-12-23,2019-12-22
"Cameron Reynolds","Milwaukee","SG",24,"6' 7""",225,NA,"Milwaukee Bucks",NA,NA,NA,NA,NA
"Caris LeVert","Brooklyn","SG",25,"6' 6""",205,2625718,"Brooklyn Nets","Out","Dec 20","Game Time Decision",2019-12-23,2019-12-22
"Carmelo Anthony",NA,"PF",35,"6' 8""",238,1364204,"Portland Trailblazers","Day-To-Day","Dec 21","Game Time Decision",2019-12-23,2019-12-22
"Carsen Edwards","Boston","PG",21,"5' 11""",200,1228026,"Boston Celtics","Day-To-Day","Dec 22","Game Time Decision",2019-12-23,2019-12-22
"Cedi Osman","Cleveland","SF",24,"6' 7""",230,2907143,"Cleveland Cavaliers",NA,NA,NA,NA,NA
"Chandler Hutchison","Chicago","SF",23,"6' 7""",210,2332320,"Chicago Bulls","Out","Dec 20","Game Time Decision",2019-12-23,2019-12-22
"Chandler Parsons","Atlanta","SF",31,"6' 9""",230,25102511,"Atlanta Hawks","Day-To-Day","Dec 20",NA,2019-12-23,2019-12-22
"Charlie Brown Jr.","Atlanta","SG",21,"6' 6""",199,NA,"Atlanta Hawks",NA,NA,NA,NA,NA
