"PLAYER_FULL_NAME","OWN_TEAM","Position","Age","Height","Weight","Salary","Team","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Luke Kennard","Detroit","SG",22,"6' 5""",206,3275280,"Detroit Pistons",NA,NA,NA,NA,NA
"Luke Kornet","New York","PF",23,"7' 1""",250,1619260,"New York Knicks",NA,NA,NA,NA,NA
"Luol Deng","Minnesota","SF",33,"6' 9""",237,1512601,"Minnesota Timberwolves",NA,NA,NA,NA,NA
"Malcolm Brogdon","Milwaukee","PG",26,"6' 5""",229,1544951,"Milwaukee Bucks",NA,NA,NA,NA,NA
"Malik Beasley","Denver","SG",22,"6' 5""",195,1773840,"Denver Nuggets",NA,NA,NA,NA,NA
"Malik Monk","Charlotte","SG",21,"6' 3""",200,3447480,"Charlotte Hornets",NA,NA,NA,NA,NA
"Marc Gasol","Toronto","C",34,"7' 1""",255,24119025,"Toronto Raptors","Day-To-Day","Feb 9","Game Time Decision",2019-02-10,2019-02-09
"Marco Belinelli","San Antonio","SG",32,"6' 5""",210,6153846,"San Antonio Spurs",NA,NA,NA,NA,NA
"Marcus Derrickson","Golden State","F",23,"6' 7""",249,NA,"Golden State Warriors",NA,NA,NA,NA,NA
"Marcus Morris","Boston","PF",29,"6' 9""",235,5375000,"Boston Celtics","Day-To-Day","Feb 5",NA,2019-02-10,2019-02-09
"Marcus Smart","Boston","PG",24,"6' 4""",220,11660716,"Boston Celtics",NA,NA,NA,NA,NA
"Mario Hezonja","New York","SF",23,"6' 8""",225,6500000,"New York Knicks",NA,NA,NA,NA,NA
"Markelle Fultz","Orlando","PG",20,"6' 4""",200,8339880,"Orlando Magic","Out","Feb 7","Mar 1",2019-03-01,2019-02-09
"Marquese Chriss","Cleveland","PF",21,"6' 10""",240,3206160,"Cleveland Cavaliers","Day-To-Day","Feb 6",NA,2019-02-10,2019-02-09
"Marvin Bagley III","Sacramento","PF",19,"6' 11""",234,7305600,"Sacramento Kings",NA,NA,NA,NA,NA
"Marvin Williams","Charlotte","PF",32,"6' 9""",237,14087500,"Charlotte Hornets",NA,NA,NA,NA,NA
"Mason Plumlee","Denver","PF",28,"6' 11""",235,12917808,"Denver Nuggets",NA,NA,NA,NA,NA
"Matthew Dellavedova","Cleveland","PG",28,"6' 4""",200,9607500,"Cleveland Cavaliers",NA,NA,NA,NA,NA
"Maurice Harkless","Portland","SF",25,"6' 9""",220,10837079,"Portland Trailblazers",NA,NA,NA,NA,NA
"Maximilian Kleber","Dallas","PF",27,"6' 11""",240,1378242,"Dallas Mavericks",NA,NA,NA,NA,NA
"Melvin Frazier Jr.","Orlando","SG",22,"6' 6""",200,1050000,"Orlando Magic",NA,NA,NA,NA,NA
"Meyers Leonard","Portland","PF",26,"7' 1""",255,10595506,"Portland Trailblazers",NA,NA,NA,NA,NA
